lockitver|DO NOT DELETE THIS LINE! Tradução PTBR - 2015-2023 - by Cláudio Vieira e Evandro Neto
qst_deliver_message|Entregue a mensagem ao {s13}.
qst_deliver_message_to_enemy_lord|Entregue a mensagem ao {s13}.
qst_raise_troops|Reúna {reg1} {s14}.
qst_escort_lady|Escolte {s13} a {s14}.
qst_deal_with_bandits_at_lords_village|Salve a aldeia de {s15} dos bandidos saqueadores.
qst_collect_taxes|Arrecade os impostos de {s3}.
qst_hunt_down_fugitive|Cace {s4}.
qst_kill_local_merchant|Assassine um mercador local em {s3}.
qst_bring_back_runaway_serfs|Traga de volta os servos fugitivos.
qst_follow_spy|Siga o espião.
qst_capture_enemy_hero|Capture um Lorde de {s13}.
qst_lend_companion|Empreste seu companheiro {s3} a {s9}.
qst_collect_debt|Recolha a dívida que o {s3} deve ao {s9}.
qst_incriminate_loyal_commander|Incrimine o leal comandante de {s13}, {s16}.
qst_meet_spy_in_enemy_town|Encontre-se com o espião em {s13}.
qst_capture_prisoners|Traga {reg1} prisioneiros {s3}.
qst_raise_peasants|Raise* {reg1} {s14}
qst_party|Leve vinho para o {s9}
qst_deliver_love_letter|Leve a Mensagem para {s13}
qst_kill_elites|Localize as tropas rebeldes e destrua-as.
qst_lend_surgeon|Empreste seu cirurgião, {s3}, ao {s1}.
qst_follow_army|Siga o exército de {s9}.
qst_report_to_army|Faça um relatório para o {s13}, o Marechal do Reino.
qst_deliver_cattle_to_army|Entregue {reg3} cabeças de gado ao {s13}.
qst_join_siege_with_army|Una-se ao cerco de {s14}.
qst_screen_army|Observe o avanço do exército de {s13}.
qst_scout_waypoints|Explore {s13}, {s14} e {s15}.
qst_rescue_lord_by_replace|Resgate o {s13} de {s14}.
qst_deliver_message_to_prisoner_lord|Entregue a mensagem para {s13} em {s14}.
qst_duel_for_lady|Desafie o {s13} a um duelo por combate.
qst_duel_courtship_rival|Desafie o {s13} a um duelo por combate (opcional).
qst_duel_avenge_insult|Desafie o {s13} a um duelo por combate.
qst_deliver_portrait|Entregue o retrato estranho
qst_deliver_letter|Entregue a carta de amor para {s13}
